sexo,edad,nivel_educativo,categoria_ocupacional,target
1,60,6,3,1
1,34,4,3,1
2,32,4,3,1
2,43,4,3,1
1,47,2,2,1
2,59,4,0,0
1,33,4,3,1
1,46,3,1,1
1,22,4,3,1
2,20,5,3,1
2,18,3,3,1
1,56,4,3,1
2,53,4,1,1
1,28,4,3,1
1,34,4,3,1
1,41,6,3,1
2,40,6,3,1
1,34,4,3,1
2,54,5,2,1
1,48,5,3,1
2,19,5,4,1
1,37,2,3,1
2,31,3,3,1
1,30,5,2,1
2,31,6,3,1
1,51,4,1,1
2,27,3,2,1
1,32,3,3,1
1,46,3,3,1
1,49,5,2,1
1,51,2,3,1
2,59,3,3,1
1,60,2,3,1
1,57,4,1,1
1,30,5,3,1
1,37,4,3,0
2,24,5,3,1
2,48,4,3,1
1,29,2,2,0
2,59,4,3,1
1,55,2,3,1
1,63,3,2,1
2,49,6,3,1
2,59,2,2,1
1,39,3,2,1
1,34,3,2,1
1,26,3,3,0
2,25,4,3,1
1,22,2,3,1
2,51,6,3,1
1,43,6,2,1
2,38,6,3,1
1,68,6,3,1
2,55,6,3,1
1,59,6,3,1
1,76,3,2,1
2,49,6,3,1
1,20,3,3,1
1,39,6,3,1
1,28,4,3,1
1,24,3,3,1
2,20,3,3,1
2,43,4,3,1
1,57,6,3,1
1,55,5,3,1
2,27,4,3,1
2,26,5,3,1
1,27,6,2,1
2,26,2,3,0
1,65,2,3,1
2,28,4,3,0
1,65,6,3,1
1,28,3,3,1
1,34,3,3,1
1,25,3,3,0
1,29,5,2,1
1,60,3,2,1
1,73,5,2,1
1,54,4,3,1
2,52,6,3,1
1,51,1,2,1
1,49,1,2,1
1,24,3,3,1
2,50,2,3,1
1,53,6,3,1
2,38,3,3,1
2,20,4,3,1
1,47,6,2,1
1,43,7,3,0
1,42,4,3,1
2,42,4,3,1
2,30,6,3,1
1,54,2,3,1
2,58,4,3,1
1,41,2,2,1
2,38,4,4,1
2,52,5,3,1
1,36,3,3,1
2,39,4,3,1
2,47,4,3,1
2,21,4,0,0
2,48,4,3,1
1,54,2,3,1
1,27,3,3,1
1,48,3,2,1
1,46,5,2,1
1,51,6,3,1
2,50,6,3,1
1,58,2,3,1
1,33,2,3,1
1,28,2,3,1
2,73,6,2,1
2,47,6,2,1
1,53,4,3,1
2,56,3,3,1
2,70,2,3,1
2,35,5,3,1
1,44,4,1,1
1,18,3,3,1
1,65,4,2,1
1,50,3,3,1
1,34,2,3,1
1,41,6,2,1
2,63,1,2,1
1,60,2,2,1
2,33,2,3,1
1,28,4,3,1
1,27,4,3,1
2,33,6,3,1
1,38,4,3,1
1,36,5,3,1
2,21,5,3,1
1,19,4,2,1
2,25,3,3,1
